LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask1-ChrX	905634	59101759	905634	460458	3687939	9850	0.065791	454774425
SS6003110.Mask1-ChrX	686498	31410427	686498	270428	2156500	6247	0.072172	218734998
SS6003112.Mask1-ChrX	619170	35041763	619170	263670	2290962	8129	0.068535	257013575
SS6003114.Mask1-ChrX	439791	23608870	439791	155652	966243	4978	0.043815	281874591
SS6003116.Mask1-ChrX	486705	25490053	486705	205903	2931415	6718	0.117915	102352403
SS6003118.Mask1-ChrX	521635	31860534	521635	241513	4338856	3767	0.138836	106172065
SS6003120.Mask1-ChrX	236416	29864315	236416	120599	971718	6599	0.034421	451844308
SS6003124.Mask1-ChrX	259458	26887289	259458	118876	1924856	6464	0.073446	179258163
SS6003128.Mask1-ChrX	246012	25958190	246012	116572	880233	4838	0.035985	376026523
SS6003130.Mask1-ChrX	264696	28230596	264696	124258	2172924	7163	0.078802	174365586
SS6003132.Mask1-ChrX	260480	27681140	260480	120086	1458360	10795	0.054596	255154466
SS6003134.Mask1-ChrX	233789	29510453	233789	112199	978239	9360	0.034912	439246278
SS6003136.Mask1-ChrX	304644	26986770	304644	125408	1204763	5711	0.046703	294501864
SS6003148.Mask1-ChrX	383814	52311625	383814	220916	1841110	21563	0.03717	733821728
SS6003301.lanes1.Mask1-ChrX	41598	4870580	41598	11644	67874	2877	0.015067	180647842
SS6003301.lanes2.Mask1-ChrX	81366	9733945	81366	26874	238961	5669	0.025822	199578658
SS6003301.lanes3.Mask1-ChrX	122818	14630408	122818	45060	507857	8577	0.036101	209204056
SS6003301.lanes4.Mask1-ChrX	161751	19401503	161751	64135	856459	11473	0.045607	215961661
SS6003301.lanes5.Mask1-ChrX	204192	24387034	204192	86795	1304999	14217	0.055061	221908244
SS6003301.Mask1-ChrX	204192	24387034	204192	86795	1304999	14217	0.055061	221908244
SS6003304.Mask1-ChrX	265653	27882871	265653	121688	2136526	10846	0.078434	173315878
SS6003307.Mask1-ChrX	271335	28501291	271335	126901	1759828	10162	0.063669	222373686
SS6003310.Mask1-ChrX	383972	53347654	383972	198177	5725436	13777	0.108789	230893623
SS6003313.Mask1-ChrX	320420	52421847	320420	162653	2830430	20275	0.055375	470943818
SS6003316.Mask1-ChrX	196255	26910898	196255	89595	1404925	21688	0.053675	252312105
SS6003319.Mask1-ChrX	250790	28614069	250790	122132	2069498	10358	0.074134	189014863
SS6003322.Mask1-ChrX	239696	25521450	239696	108078	2753020	14162	0.109474	110112120
