LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask3-ChrM	5265	433014	8065	5245	109841	73	0.258153	702382
SS6003110.Mask3-ChrM	5927	392583	8312	5926	101264	55	0.263501	623785
SS6003112.Mask3-ChrM	10088	751153	13473	10088	264453	151	0.356385	798316
SS6003114.Mask3-ChrM	5381	348710	7399	5372	66708	57	0.197478	791552
SS6003116.Mask3-ChrM	26314	1839747	35071	26306	1099632	420	0.600563	830950
SS6003118.Mask3-ChrM	23691	2353960	36388	23681	1547421	221	0.659083	862960
SS6003120.Mask3-ChrM	1320	286573	2947	1320	40887	58	0.144646	907336
SS6003124.Mask3-ChrM	1995	331270	3995	1988	75664	70	0.230712	610338
SS6003128.Mask3-ChrM	2380	298750	4205	2349	55368	40	0.188513	703360
SS6003130.Mask3-ChrM	1508	276411	3078	1508	53657	58	0.196313	616979
SS6003132.Mask3-ChrM	1272	226046	2625	1267	33111	85	0.148863	695688
SS6003134.Mask3-ChrM	1480	291271	3041	1480	46837	79	0.162929	806808
SS6003136.Mask3-ChrM	3531	414504	5835	3531	92103	77	0.225499	789190
SS6003148.Mask3-ChrM	10606	2260277	22801	10603	1246496	843	0.552528	1193542
SS6003301.lanes1.Mask3-ChrM	1600	313431	3045	1600	35182	150	0.114508	1294291
SS6003301.lanes2.Mask3-ChrM	3093	627815	5976	3093	126794	296	0.203922	1339391
SS6003301.lanes3.Mask3-ChrM	4669	942919	8998	4669	261472	438	0.279085	1370142
SS6003301.lanes4.Mask3-ChrM	6081	1250560	11796	6081	424571	608	0.341107	1396832
SS6003301.lanes5.Mask3-ChrM	7694	1568858	14816	7694	618358	766	0.395627	1423819
SS6003301.Mask3-ChrM	7694	1568858	14816	7694	618358	766	0.395627	1423819
SS6003304.Mask3-ChrM	9497	1664273	18504	9497	596062	534	0.359978	1727968
SS6003307.Mask3-ChrM	12935	2269917	21302	12935	1146305	697	0.506405	1400890
SS6003310.Mask3-ChrM	3815	670814	6449	3815	195815	152	0.293914	912856
SS6003313.Mask3-ChrM	9273	2179640	19215	9273	1031679	720	0.474443	1497417
SS6003316.Mask3-ChrM	3400	852206	6677	3400	190345	502	0.224902	1614599
SS6003319.Mask3-ChrM	2762	553457	4810	2762	105564	167	0.19275	1261301
SS6003322.Mask3-ChrM	9983	1685486	16738	9983	683109	769	0.407045	1468955
